"CODICE RDS";"DESCRIZIONE";;"N.ORDINE RDS";"ANNO ";"RIGA ORDINE";"CODICE CLIENTE ";"CLIENTE";"UM";"Q.TA'ORDINATA";"Q.TA RESIDUA";"DATA CONSEGNA";"VALORE";"DEPOSITO";"CODICE CLIENTE";"N.ORD.CLIENTE";"CONSEGNA RICHIESTA";
"A215701";"SEMICASSA RIDUTTORE EMEGA/A **";"<23>";"S0000053";2018;44;8004303;"CAME SPA";"PZ";1080;1080;01/06/2018;1181.52;1;"119EM421A";"PROGRAMMA";" ";" "
"A215701";"SEMICASSA RIDUTTORE EMEGA/A **";"<23>";"S0000065";2018;29;8004303;"CAME SPA";"PZ";1080;1080;01/07/2018;1181.52;1;"119EM421A";"PROGRAMMA";" ";" "
"A215701";"SEMICASSA RIDUTTORE EMEGA/A **";"<23>";"S0000066";2018;22;8004303;"CAME SPA";"PZ";1080;1080;01/08/2018;1181.52;1;"119EM421A";"PROGRAMMA";" ";" "
"A215701";"SEMICASSA RIDUTTORE EMEGA/A **";"<23>";"S0000067";2018;28;8004303;"CAME SPA";"PZ";1080;1080;01/09/2018;1181.52;1;"119EM421A";"PROGRAMMA";" ";" "
"A215702";"SEMICASSA RIDUTTORE EMEGA/B **";"<23>";"A0000365";2018;1;8004303;"CAME SPA";"PZ";1440;79;21/05/2018;86.98;1;"119EM421B";5120044885;" ";" "
"A215702";"SEMICASSA RIDUTTORE EMEGA/B **";"<23>";"S0000053";2018;45;8004303;"CAME SPA";"PZ";1440;1440;01/06/2018;1585.44;1;"119EM421B";"PROGRAMMA";" ";" "
"A215702";"SEMICASSA RIDUTTORE EMEGA/B **";"<23>";"S0000065";2018;30;8004303;"CAME SPA";"PZ";1440;1440;01/07/2018;1585.44;1;"119EM421B";"PROGRAMMA";" ";" "
"A215702";"SEMICASSA RIDUTTORE EMEGA/B **";"<23>";"S0000067";2018;29;8004303;"CAME SPA";"PZ";1440;1440;01/09/2018;1585.44;1;"119EM421B";"PROGRAMMA";" ";" "
"A216401";"CALOTTA ANT. C/FORO M313A**";"<329>";"A0000235";2018;1;8004114;"DAGU S.r.L.";"PZ";1800;1800;08/06/2018;1033.2;1;9702500;1800416;" ";" "
"A216402";"CALOTTA POST. C/FORO M313B **";"<329>";"A0000235";2018;2;8004114;"DAGU S.r.L.";"PZ";1800;1800;08/06/2018;1033.2;1;9702600;1800416;" ";" "
"A217401";"DISTANZIALI dis.72014 **";"<100>  ordinare con A217402";"A0000354";2018;2;8003215;"EBARA PUMPS EUROPE S.p.A.";"PZ";1567;1567;29/06/2018;264.82;1;371415016;1100160242;" ";" "
"A217402";"DISTANZIALI dis.72015 ** <100>";"ordinare con A217401";"A0000354";2018;1;8003215;"EBARA PUMPS EUROPE S.p.A.";"PZ";1297;1297;29/06/2018;219.19;1;371415017;1100160242;" ";" "
"A217501";"SUPPORTO MOTORE MEC/80";"<134>";"A0000447";2018;2;8003215;"EBARA PUMPS EUROPE S.p.A.";"PZ";2000;2000;27/07/2018;7866;1;340280082;161437;" ";" "
"A226101";"SUPPORTO MOTORE MEC/80 DWO";"<446>";"A0000447";2018;1;8003215;"EBARA PUMPS EUROPE S.p.A.";"PZ";2000;2000;27/07/2018;6664;1;340280110;161437;" ";" "
"A233400";"FLANGIA DI TRASCINAMENTO BK";"**                       <534>";"S0000053";2018;7;8004303;"CAME SPA";"PZ";1350;1350;01/06/2018;1159.65;1;"119BL508";"PROGRAMMA";" ";" "
"A233400";"FLANGIA DI TRASCINAMENTO BK";"**                       <534>";"S0000066";2018;5;8004303;"CAME SPA";"PZ";1200;1200;01/08/2018;1030.8;1;"119BL508";"PROGRAMMA";" ";" "
"A233401";"FLANGIA DI CONDOTTA BK  **";"<534>";"S0000053";2018;8;8004303;"CAME SPA";"PZ";1350;1350;01/06/2018;1159.65;1;"119BL509";"PROGRAMMA";" ";" "
"A233401";"FLANGIA DI CONDOTTA BK  **";"<534>";"S0000065";2018;7;8004303;"CAME SPA";"PZ";1200;1200;01/07/2018;1030.8;1;"119BL509";"PROGRAMMA";" ";" "
"A233401";"FLANGIA DI CONDOTTA BK  **";"<534>";"A0000467";2018;1;8004303;"CAME SPA";"PZ";1200;1200;03/07/2018;1030.8;1;"119BL509";5120046024;" ";" "
"A233401";"FLANGIA DI CONDOTTA BK  **";"<534>";"S0000067";2018;7;8004303;"CAME SPA";"PZ";1200;1200;01/09/2018;1030.8;1;"119BL509";"PROGRAMMA";" ";" "
"A233600";"PORTAPROTEZIONE DIAM.50";"<536>";"A0000476";2018;1;8004126;"WAM Industriale spa";"PZ";700;700;27/09/2018;1225;1;64001043;450732;" ";" "
"A233802";"SEMICASSA RETRO BK";"119BV942 <538>";"S0000065";2018;14;8004303;"CAME SPA";"PZ";720;720;01/07/2018;2064.24;1;"119BV942";"PROGRAMMA";" ";" "
"A233802";"SEMICASSA RETRO BK";"119BV942 <538>";"A0000465";2018;2;8004303;"CAME SPA";"PZ";720;720;13/07/2018;2064.24;1;"119BV942";5120045952;" ";" "
"A233802";"SEMICASSA RETRO BK";"119BV942 <538>";"S0000066";2018;11;8004303;"CAME SPA";"PZ";720;720;01/08/2018;2064.24;1;"119BV942";"PROGRAMMA";" ";" "
"A233802";"SEMICASSA RETRO BK";"119BV942 <538>";"S0000067";2018;14;8004303;"CAME SPA";"PZ";1440;1440;01/09/2018;4128.48;1;"119BV942";"PROGRAMMA";" ";" "
"A233802";"SEMICASSA RETRO BK";"<538>";"S0000053";2018;16;8004303;"CAME SPA";"PZ";1440;1440;01/06/2018;4128.48;1;"119BV942";"PROGRAMMA";" ";" "
"A233803";"SEMICASSA FRONTE BK";"<538>";"S0000053";2018;15;8004303;"CAME SPA";"PZ";720;720;01/06/2018;2085.84;1;"119BV941";"PROGRAMMA";" ";" "
"A233803";"SEMICASSA FRONTE BK";"<538>";"A0000460";2018;1;8004303;"CAME SPA";"PZ";240;240;22/06/2018;695.28;1;"119BV941";5120045866;" ";" "
"A233803";"SEMICASSA FRONTE BK";"<538>";"A0000465";2018;1;8004303;"CAME SPA";"PZ";240;240;25/06/2018;695.28;1;"119BV941";5120045952;" ";" "
"A233803";"SEMICASSA FRONTE BK";"<538>";"A0000468";2018;1;8004303;"CAME SPA";"PZ";480;480;25/06/2018;1390.56;1;"119BV941";5120046023;" ";" "
"A233803";"SEMICASSA FRONTE BK";"<538>";"S0000065";2018;13;8004303;"CAME SPA";"PZ";1200;1200;01/07/2018;3476.4;1;"119BV941";"PROGRAMMA";" ";" "
"A233803";"SEMICASSA FRONTE BK";"<538>";"S0000066";2018;10;8004303;"CAME SPA";"PZ";720;720;01/08/2018;2085.84;1;"119BV941";"PROGRAMMA";" ";" "
"A233803";"SEMICASSA FRONTE BK";"<538>";"S0000067";2018;13;8004303;"CAME SPA";"PZ";1440;1440;01/09/2018;4171.68;1;"119BV941";"PROGRAMMA";" ";" "
"A234600";"BLOCCHETTO ATTACCO MOLLA";"<529>";"A0000379";2018;1;8004193;"MASCAR SPA";"PZ";1500;1500;06/07/2018;1800;1;150464;15347;04/07/2018;" "
"A235200";"NUOVA CARCASSA RIDUTTORE BOX";"<509>";"A0000391";2018;1;9010885;"ASSA ABLOY ES PRODUCTION AB";"PZ";1000;1000;06/07/2018;2950;1;"21565/A";592907;25/06/2018;" "
"A235200";"NUOVA CARCASSA RIDUTTORE BOX";"<509>";"A0000474";2018;1;9010885;"ASSA ABLOY ES PRODUCTION AB";"PZ";1000;1000;19/07/2018;2950;1;"21565/A";592997;" ";" "
"A235480";"TESTATA PA 530-730 TE 55";"<556>";"A0000219";2018;2;8003098;"IDROMECCANICA BERTOLINI SPA";"PZ";1000;1000;05/07/2018;3138;1;230002090;57467;05/05/2018;" "
"A235480";"TESTATA PA 530-730 TE 55";"<556>";"A0000342";2018;1;8003098;"IDROMECCANICA BERTOLINI SPA";"PZ";3000;3000;05/09/2018;9537;1;230002090;57836;05/06/2018;" "
"A235500";"COPERCHIO VALVOLE PA 530";"<558>";"A0000342";2018;2;8003098;"IDROMECCANICA BERTOLINI SPA";"PZ";2000;2000;05/09/2018;2976;1;230003090;57836;05/06/2018;" "
"A235550";"SCATOLA RIDUTTORE LAVORATA";"<562> EX  XAHL251SCAR 3HL039.5";"A0000202";2018;3;8004305;"CARDIN ELETTRONICA S.P.A.";"PZ";500;500;07/09/2018;4631.5;1;"/30311050";"A80535";03/09/2018;" "
"A235560";"CALOTTA MOTORE";"<563>";"A0000202";2018;7;8004305;"CARDIN ELETTRONICA S.P.A.";"PZ";500;500;07/09/2018;1664;1;"XAHL251CALM 3HL033.4";"A80535";03/09/2018;" "
"A235620";"COPERCHIO";"<569>";"A0000122";2018;2;8004305;"CARDIN ELETTRONICA S.P.A.";"PZ";500;500;09/07/2018;1660.5;1;"ZAHL251COP 3HL004.4";"A80363";03/07/2018;" "
"A235750";"SCATOLA SBLOCCO ZAHL251";"<582>";"A0000202";2018;8;8004305;"CARDIN ELETTRONICA S.P.A.";"PZ";137;137;05/07/2018;278.25;1;"ZAHL251SCAT 3HL082.1";"A80535";" ";" "
"A235940";"TESTATA SERBATOIO";"<596>";"A0000279";2018;2;8004126;"WAM Industriale spa";"PZ";5000;5000;30/08/2018;14400;1;378001728;448912;" ";" "
"A236660";"STAFFA COMANDO A DISTANZA";"<646>";"A0000971";2017;3;8003098;"IDROMECCANICA BERTOLINI SPA";"PZ";1000;1000;05/07/2018;959;1;311518090;56561;05/06/2018;" "
"A236670";"RACCORDO FLANGIATO MASC. G 3/4";"90C<647>";"A0000285";2018;2;8003098;"IDROMECCANICA BERTOLINI SPA";"PZ";1000;28;08/06/2018;22.96;1;311516090;57667;05/06/2018;" "
"A236671";"RACCORDO FLANGIATO MAS. G 1/2";"90C<647>";"A0000219";2018;4;8003098;"IDROMECCANICA BERTOLINI SPA";"PZ";2000;192;26/04/2018;157.44;1;311515090;57467;05/04/2018;" "
"A236880";"CASSA "" F """;"<661>";"A0000427";2018;1;8004798;"CO.ME.P. SRL";"PZ";1000;1000;05/10/2018;12390;1;912305058;169;" ";" "
"A237111";"CARCASSA MOTORIDUTTORE BX-243";"dis. 7055/B <676>";"S0000053";2018;3;8004303;"CAME SPA";"PZ";336;336;01/06/2018;1256.3;1;"119B7055B";"PROGRAMMA";" ";" "
"A237111";"CARCASSA MOTORIDUTTORE BX-243";"dis. 7055/B <676>";"A0000455";2018;2;8004303;"CAME SPA";"PZ";204;72;18/06/2018;269.21;1;"119B7055B";5120045770;" ";" "
"A237111";"CARCASSA MOTORIDUTTORE BX-243";"dis. 7055/B <676>";"S0000065";2018;3;8004303;"CAME SPA";"PZ";672;672;01/07/2018;2512.61;1;"119B7055B";"PROGRAMMA";" ";" "
"A237111";"CARCASSA MOTORIDUTTORE BX-243";"dis. 7055/B <676>";"S0000067";2018;3;8004303;"CAME SPA";"PZ";360;360;01/09/2018;1346.04;1;"119B7055B";"PROGRAMMA";" ";" "
"A237120";"FLANGIA  Frontale Motostar";"<677>";"A0000455";2018;1;8004303;"CAME SPA";"PZ";900;900;18/06/2018;803.7;1;"119B7057";5120045770;" ";" "
"A237120";"FLANGIA  Frontale Motostar";"<677>";"S0000065";2018;4;8004303;"CAME SPA";"PZ";900;900;01/07/2018;803.7;1;"119B7057";"PROGRAMMA";" ";" "
"A237300";"NUOVA FLANGIA DI TRASCINAMENTO";"<728>";"A0000399";2018;1;8004303;"CAME SPA";"PZ";100;100;30/06/2018;51.1;1;"119GS749";5120045267;05/06/2018;" "
"A237300";"NUOVA FLANGIA DI TRASCINAMENTO";"<728>";"S0000065";2018;37;8004303;"CAME SPA";"PZ";900;900;01/07/2018;459.9;1;"119GS749";"PROGRAMMA";" ";" "
"A237300";"NUOVA FLANGIA DI TRASCINAMENTO";"<728>";"A0000446";2018;1;8004303;"CAME SPA";"PZ";900;900;30/06/2019;459.9;1;"119GS749";5120045650;19/06/2018;" "
"A237330";"BASE X SCOR. cod. DY BASE";"GR-001 <731> C/RULLATURA";"A0000258";2018;3;8004806;"KING GATES SRL";"PZ";1500;1500;10/07/2018;11856;1;"DY BASE.R02-VE";164763;" ";" "
"A237350";"CALOTTA MOT. SUP. x SCORREVOLE";"RULL cod DYCALS-001<900108900";"A0000405";2018;1;8004806;"KING GATES SRL";"PZ";1000;1000;01/08/2018;1658;1;"DY CALS-001";164763;" ";" "
"A237370";"LEVA SBLOCCO SCORREVOLE";"DY SBLO-VE-001";"A0000258";2018;4;8004806;"KING GATES SRL";"PZ";1000;1000;10/07/2018;1639;1;"DY SBLO-VE-001";164763;01/07/2018;" "
"A237370";"LEVA SBLOCCO SCORREVOLE";"DY SBLO-VE-001";"A0000405";2018;2;8004806;"KING GATES SRL";"PZ";1000;1000;01/08/2018;1639;1;"DY SBLO-VE-001";164763;" ";" "
"A237370";"LEVA SBLOCCO SCORREVOLE";"DY SBLO-VE-001";"A0000405";2018;3;8004806;"KING GATES SRL";"PZ";1000;1000;05/09/2018;1639;1;"DY SBLO-VE-001";164763;" ";" "
"A237370";"LEVA SBLOCCO SCORREVOLE";"DY SBLO-VE-001";"A0000405";2018;4;8004806;"KING GATES SRL";"PZ";1000;1000;05/11/2018;1639;1;"DY SBLO-VE-001";164763;" ";" "
"A237410";"MANIGLIA SBLOCCO BATTENTE";"PARTE MOBILE GRIGIO";"A0000258";2018;2;8004806;"KING GATES SRL";"PZ";500;399;10/07/2018;516.71;1;"JE MA-MO-VE-GR";164763;" ";" "
"A237530";"SUPPORTO ""DRM"" <743>";" ";"A0000315";2018;1;8004691;"JTC  SRL";"PZ";2500;96;06/06/2018;97.92;1;40200203;122;" ";" "
"A237530";"SUPPORTO ""DRM"" <743>";" ";"A0000421";2018;1;8004691;"JTC  SRL";"PZ";2000;2000;10/07/2018;3692;1;40200203;161;" ";" "
