PARTE,ATTREZZATURA,NUM_IMPRONTE
E288330,900117000,2
E288340,900117000,2
E286680,900104600,2
E288102,900118900,1
E288104,900119000,1
E287940,900116000,1
E288360,900119300,1
E288130,900115600,2
E288150,900115700,2
E28496,900095900,1
E28497,900095900,1
E233803,900053800,1
E233802,900053800,1
E20010,900021700,2
E200102,900021700,1
E200103,900021700,1
E288180,900119700,2
E286170,900102800,2
E286180,900102800,2
E288220,900120300,1
E288230,900120200,1
E286610,900105700,1
E286620,900105700,2
E286630,900105700,1
E286940,900109300,1
E286960,900109200,1
E286500,900105100,1
E286490,900105100,1
E285640,900099400,1
E237350,900073200,1
E287400,900112500,2
E285180,900097000,1
E287630,900113800,1
E28627,900103400,1
E28831,900121400,2
E288310,900121400,2
E235610,900056800,1
E284540,900093000,6
E202303,900027102,2
E21750,900013400,1
E22610,900044600,1
E233800,900053800,1
E23380,900053800,1
E235200,900050900,2
E235460,900055400,1
E23711,90006760,1
E237330,900073100,1
E237870,900086000,1
E282500,900075800,2
E283660,900085800,2
E288260,900118000,2
E287680,900110200,1
E287680,900110200,1
E288290,900116800,1
E287910,900114000,1
E288280,900116700,1
E288300,900116900,1
E284560,900093200,1
E284360,900091400,1
E284570,900093200,1
E284860,900094900,1
E285335,900117800,1
E286100,900102500,1
E286190,900103000,1
E286200,900107000,1
E286210,900107100,1
E286230,900107300,1
E286232,900107400,1
E286234,900107500,1
E286830,900106600,1
E286840,900106500,1
E286870,900108600,1
E288320,900121500,2
E287300,90010910,1
E286880,900108600,1
E286910,900108800,1
E285710,900100300,1
E287030,900106300,1
E287040,900106200,1
E287050,900106200,1
E287810,900115200,2
E286920,900109100,1
E237420,900073600,1
E21740,900010000,3
E217402,900010000,3
E286590,900105600,1
E286970,900108500,1
E284950,900095800,2
E287880,900115900,1
E288140,900116100,1
E287220,900105000,1
E287850,90011490,1
E287860,900114900,1
E286080,900102400,1
E288190,900119700,2
E28667,900104600,2
E28668,900104600,2
E286900,900108800,1
E20090,900026600,0
E285740,900100500,1
E21990,900038600,1
E286480,900104800,4
E286470,900104800,1
E237390,90007340,1
E281000,900024302,8
E287360,900112100,2
E287480,90011210,2
E287020,900110100,1
E287010,900110100,1
E286770,900106700,1
E283700,900107700,1
E283690,900107700,1
E283000,900076500,1
E283100,90007650,1
E285080,900095700,1
E287320,900112200,1
E287340,900112400,1
E287330,900112300,1
E284180,900089700,6
E284170,900089600,6
E284170,900097500,3
E283650,900085100,1
E286720,900106000,1
E286710,900106000,1
E280500,900024100,8
E200170,900068600,4
E287640,900113900,1
E287650,900113900,1
E287660,900114100,1
E287670,900114100,1
E287890,900114202,1
E283460,900084800,1
E287800,90011470,1
E287780,900114700,1
E288030,900118600,1
E288020,900118600,1
E288090,900118300,4
E287920,900112000,16
E287790,900114700,1
E287870,900111900,16
E287850,90011510,1
E236640,900064400,1
E287980,90011510,1
E286810,900104900,1
E286820,900105000,1
E288380,900119400,1
E286890,900108700,1
E287720,900113100,4
E287730,900113100,4
E287310,900092102,1
E287150,900109700,1
E287160,900109700,1
E287180,900111100,1
E287190,900111100,1
E284180,900097600,3
