^PRODOTTO^|^DESCRIZIONE^|^COD_CICLO^|^FASE^|^OPERAZIONE^|^CL.MACCHINE^|^CL.OPERATORI LAV.^|^CL.OPERATORI ATTR.^|^ATTREZZATURA^|^T.ATTR.MACCHINA^|^T.ATTR.UOMO^|^T.LAV.MACCHINA^|^T.LAV.UOMO^|^NOTE FASE^|^TERZISTA^|^GG.LAV.EST.^|^DIRECTORY FILE DISEGNO^|^NOME FILE DISEGNO^|^N.OPER.LAV.^|^N.OPER.ATTR.^|^GG.POSTICIPO^|^SCHED.CAP.ILLIM.^|^T.ATTRAVERSAMENTO^|^NUM.IMPRONTE^|^N.RIGA^|^RIGA TESTO FASE^
^E200380^|^SEDUTA DX grezzo <699>^|^ ^|40|^ALAUT^|^A1000^|^FOG^|^FOA^|900069900|6000000|6000000|46000|16000|^ ^|^ ^|7|^ ^|^ ^|1|2|0|^N^|0|2|^ ^|^ ^
^E200390^|^MP/TELA ANELLO SUPERIORE grezzo <701>^|^ ^|10|^ALPREP^|^A0350^|^ ^|^FOA^|900070100|9000000|9000000|0|0|^ ^|^ ^|0|^ ^|^ ^|0|1|0|^N^|0|1|^ ^|^ ^
^E200390^|^MP/TELA ANELLO SUPERIORE grezzo <701>^|^ ^|40|^ALAUT^|^A0350^|^FOG^|^FOA^|900070100|12000000|12000000|58000|20000|^ ^|^ ^|7|^ ^|^ ^|1|2|0|^N^|0|1|^ ^|^ ^
^E200410^|^BASE FOTOCELLULA IP 57 grezzo <700>^|^ ^|10|^ALPREP^|^A0350^|^ ^|^FOA^|900070000|4500000|4500000|0|0|^ ^|^ ^|0|^ ^|^ ^|0|1|0|^N^|0|2|^ ^|^ ^
^E200410^|^BASE FOTOCELLULA IP 57 grezzo <700>^|^ ^|40|^ALAUT^|^A0350^|^FOG^|^FOA^|900070000|6000000|6000000|35000|12000|^ ^|^ ^|7|^ ^|^ ^|1|2|0|^N^|0|2|^ ^|^ ^
^E200420^|^COPERCHIO FOTOCELLULA IP 57 grezzo <700>^|^ ^|10|^ALPREP^|^A0350^|^ ^|^FOA^|900070000|4500000|4500000|0|0|^ ^|^ ^|0|^ ^|^ ^|0|1|0|^N^|0|2|^ ^|^ ^
^E200420^|^COPERCHIO FOTOCELLULA IP 57 grezzo <700>^|^ ^|40|^ALAUT^|^A0350^|^FOG^|^FOA^|900070000|6000000|6000000|35000|12000|^ ^|^ ^|7|^ ^|^ ^|1|2|0|^N^|0|2|^ ^|^ ^
^E200430^|^SCATOLA INFERIORE grezzo <702>^|^ ^|10|^ALPREP^|^A1000^|^ ^|^FOA^|900070200|9000000|9000000|0|0|^ ^|^ ^|0|^ ^|^ ^|0|1|0|^N^|0|1|^ ^|^ ^
^E200430^|^SCATOLA INFERIORE grezzo <702>^|^ ^|40|^ALAUT^|^A1000^|^FOG^|^FOA^|900070200|12000000|12000000|108000|38000|^ ^|^ ^|7|^ ^|^ ^|1|2|0|^N^|0|1|^ ^|^ ^
^E200440^|^SCATOLA SUPERIORE grezzo <703>^|^ ^|10|^ALPREP^|^A0350^|^ ^|^FOA^|900070300|9000000|9000000|0|0|^ ^|^ ^|0|^ ^|^ ^|0|1|0|^N^|0|1|^ ^|^ ^
^E200440^|^SCATOLA SUPERIORE grezzo <703>^|^ ^|40|^ALAUT^|^A0350^|^FOG^|^FOA^|900070300|12000000|12000000|83000|29000|^ ^|^ ^|7|^ ^|^ ^|1|2|0|^N^|0|1|^ ^|^ ^
^E200450^|^CALOTTA ANTERIORE S/DENTINO grezzo <704>^|^ ^|10|^ALPREP^|^A0350^|^ ^|^FOA^|900070400|4500000|4500000|0|0|^ ^|^ ^|0|^ ^|^ ^|0|1|0|^N^|0|2|^ ^|^ ^
^E200450^|^CALOTTA ANTERIORE S/DENTINO grezzo <704>^|^ ^|40|^ALAUT^|^A0350^|^FOG^|^FOA^|900070400|6000000|6000000|35000|12000|^ ^|^ ^|7|^ ^|^ ^|1|2|0|^N^|0|2|^ ^|^ ^
^E200451^|^CALOTTA ANTERIORE C/DENTINO grezzo <70403>^|^ ^|10|^ALPREP^|^A0350^|^ ^|^FOA^|900070403|4500000|4500000|0|0|^ ^|^ ^|0|^ ^|^ ^|0|1|0|^N^|0|2|^ ^|^ ^
